Complaint Text
paint base building without permit
work do work building facade
construction rear yard addition without permit photographs complaint file
paint front wall
installation bar patio
installation illumination periphery window
stucco bay window noncompliance cornice noncompliance
interior demolition without permit
installation platform sidewalk cafe
alt areaway wall base building
alteration facade
jackhammering front step
installation hvac equipment without permitsvisible barrow street
installation awning replacement storefront without permit
replacement window without permit
new build construction unsafe
remove porch roof patch brickwork
installation fence
ongoing stoop work
paint front facade
paint brownstone green without permit
installation security cameras tree build
installation sf noncompliance
stair disrepair glass block st floor window
paint facade
stoop work
ongoing facade work
replacement door
signage light
installation signage noncompliant sf sloppy work upper floor
installed brass number door
stoop stair disrepair
cut decorative element facade interior alt
construction rooftop addition without permit
installation sf without permit
repoint scaffold
interior altsrenovation
failure maintain
installation signage
installation sf claddingpurple
excavation
metal post cement front side yard
paint sf awning security camera goosenecks sf
installation light signage
building fire permit
ongoing interior work
installation project bay noncompliance
installation stretch banner
cut shutter door make grill
installation bar without permit
power wash building replace roof
alteration residential door surround complete
illegal interior work
homeless people live inside sell scrap removal window frame
renovate basement interior alt
renovate building
double door entrance take
reconstruct rear side wall
stoop work without permit
installation signage without permitsstarbucks
installation stretch banner without permit
brownstone work without permit
paint ground facade lime green
replacement sidewalk noncomplianceno score
replace cornice
replace sidewalk
replacement roof
installation fountain bench lincoln place without permit
major jackhammering
alt base building
paint base building
facade work
replacement window noncompliance
replacement window shorten window
installation louver west nd street facadenear residential entrance
removal slate roof
installation light without permit photograph chauncey street facade
stoop work facade work
paint storefront
installation signage noncompliance installation sf noncompliance
possible ftm
bad point parlor floor
installation awning roof without permit
ongoing alt door surround
garbage enclosure
change window add louver new machinery
resurface facade
site condition endanger worker construction progress
instal post fence
installation fence sidewalk cafe without permit
construct deck
installation rear balcony
water fountain monument
installation planter box without permit
power wash building
alteration basement entrance
removal addition without permit
installation signage plaque without permit
resurface brownstone lintel without permit
possible ftm antenna
never instal curtain rail incorrect
installation subway signage pay phone
removal storm window
installation planter sidewalk without permit
new awning signage
visible rooftop addition
replacement window
installation signage laundromat
installation thruwall heater
cover signband plastic material without permit add light fixture
ongoing facade work without permit
removal window
installation temporary signage
installation nonclear glass entry door
paint stoop pink
installation door noncompliancemetal ramp bulkhead
removal ac unit backyard replacement gate
installation satellite dish
paint rear extension past year
removal canopy
installation window noncompliance
installation garbage enclosure
interior renovation replacement windows installation rear deck
